review_number,review
218,"3 stars for the food, but I have to give it an extra star for the view of the strip!  We sat right on the patio and had a wonderful view of the Bellagio and of the attractive (and at times not so attractive) people walking by the strip!  The burgers here are good, but don't try the crepes--very flavorless!  I highly recommend ended your meal with a latte!  It was the best latte I've ever had!!!!"
219,"Went to Mon Ami this weekend with a group of 6 girls. We waited over 45 minutes to sit in the Pavillion area when we had reservations at 9pm.They sat us at a VERY small round table in the middle of the walkway, which was uncomfrotable. The patio door was open which isnt so bad but they also had the AC on blast. Helloo its almost 10pm and it was 60 degrees outside!Our waiter. Such a miss. I asked if Marlin was working that night and he wasnt ;( Our waiter was TERRIBLE. He was unattentive, flat out ignored us, took forever, wasnt professional and really didnt have a good persoanlity. Smile a little!The worst were the slow bustboys. They left us with our dirty plates for too long, reached across the table to serve food and lifted plates ABOVE my head to clear things away. Derfinately not ok in our book. The food was generally very good as always. Their special of fish in Saffron sauce was NOT good and we sent it back. Luckily that was refunded on the bill. Steaks, frite, and desserts (Creme Brulee and Flourless Chocolate Cake were VERY good). I will definately come again because its worth it. This night was just a miss because of the waiter. Next time, Im calling ahead for Marlins shift."
220,"I dined here for lunch last week with my wife during one of the few days there was sun out.  As I have frequently dined at the Mon Ami Gabi in Bethesda, Maryland, I pretty much knew what to expect - good food and service. (unlike my experience at Les Halle in Washington DC, where I had excellent food and an asshole for a waiter)  I can easily say that Mon Ami did not disappoint.After about a 20 minute wait, we were sat outside.  Immediately, fresh bread was brought to our table and our drink and food orders were placed (when in France, order Kronenbourg).  Our food arrived promptly. I had the mushroom quiche which I thoroughly enjoyed an my wife had the chicken and gruyere cheese crepe, which was tasty as well.   The restaurant is also across the street from the Bellagio, so we were treated to two fountain shows (one of which was Frank Sinatra...it doesn't get better than that). In all, a great place to enjoy an outdoor lunch on a nice, sunny day."
221,"I have eaten here a number of times (now it is a regular stop each time I come to Vegas). I can honestly say I have never had a bad meal and the prices I find very reasonable for what you get. By no means is this gourmet dining, but I do have to say it is as good as it gets for the price you are paying in Vegas. It is a lively atmosphere with a friendly waiting staff.The last time I was there, I had the flattened pepper steak and their Steak frites (I cannot remember the exact name off the menu) with a side of green beans. That was plenty for me. They have a very nice selections of wine by the glass, and again, fairly reasonable. The service is great and I  strongly encourage anyone coming to this restaurant to have a reservation as there is a line up to get in and you will have to wait."
222,"First time visit last weekend. We were a party of 18. I had the steak au poivre. OH SOO YUMMY! The sauce was to die for. THE FRIES.. you have never had fries like this.. and they went so well with the sauce. Someone ordered the muscles and the sauce and the muscles were also delicious!The French baguettes they serve with your meal was great. WE had Different sides and all were good. We ordered a few desserts and also all were devoured..I conducted a survey of our party of 18 and everyone LOVED THE PLACE!The service was great too.Place is a bit noisy, though I am sure our party added to the noise!You can sit outside and have a beautiful view of the Bellagio fountains!Bon Appetit!"
223,"Maybe I'm easy to please, but set a generous portion of duck liver pate in front of me and I'm a happy, happy girl.  Give me a perfectly cooked (medium rare) steak with garlic spinach and whipped cauliflower and it's over...get out of the way, I am eating my ass off.  Oh, a little duck breast appetizer? Why thank you very much.  Your delicious entrees go for a reasonable $23 on average??  For a fancy restaurant, I think that's pretty good.  Me and my three friends split 3 appetizers, had 4 entrees, a side of spinach, bottle of wine and two beers.  I only paid $55 before tip, splitting the bill four ways.  Oh, and did I mention we saw Sig, captain of the Northwestern, from Deadliest Catch.  Yep, we did."
224,"If you can, sit out on the patio. From your table, you should be able to see the Bellagio fountain show while sipping bellinis.  We had to wait a bit for a table (lunch) but it was worth it.  The quality of food was outstanding...I highly recommend the quiche."
225,"Whenever I visit Vegas I ALWAYS make sure I go here!  They have such good food!  Kinda pricey, but worth it!  They have great food, great service!  If you plan to go, be sure to call ahead though and make reservations!  Ask to sit outside if you can!  Usually a longer wait, but again worth it!  Best time is during the summer months when its warm at night!"
226,"The food was great but I have to agree with Dallas H. on the service. Boo. The best service we got was from the water and bread girl. She smiled at us, told us what to order and was, with her limited English, much more helpful than our English-speaking server.Our waiter was incredibly haughty. Give me a break, dude. You know it's a problem if I leave a restaurant and have had only had one drink. The one drink I was able to order was very tasty, however, and it probably did Brian a favor seeing how I would not get in a taxi without a drink for our entire stay in LV (Read: Johnna was drunk for the length of our stay.) God, I loved drinking in the taxi more than anything. I even tried to bring my drink into Fashion Mall and Brian said no. Anyway, back to what you came here for.As I was saying the service was crappy. We weren't checked on at all, but luckily, the filet (once it finally came out,) was really, really, really fucking good and prepared properly. I even took a picture of it. They served it with some delicious crispy fries in a shape I've never seen-like thin fry strips. I would have loved these lightly drizzled with a vinaigrette or sprinkled with sea salt. They need to edit this side in some way to make it more special.Overall, our meals were absolutely delicious-but  the best steak we had in Vegas wasn't here... that bad boy was in another hotel restaurant in the Venetian. I'll be getting to that.Couples, this is where you go for some Vegas ambiance. Sit out on the patio at night in April; the weather is divine. If you get a seat on the street edge, you will have a full view of the Bellagio fountains-unless you are seated at the only table with bush right in front of it. WTF. That's OK. I got to stare at my sweetheart and the somewhat interesting male couple to my right. Unfortunately, we could hear Celine Dion from our table. This is why the waiter needs to bring me another drink, or at least check to see that we're still alive.OK, points to remember about Mon Ami Gabi:1. Sit outside, weather permitting.2. Bring a hot date/boyfriend/lover.3. Ask the busser/water girl what to order.4. Don't expect great service.Loved it, but can't get over the pissy service... minus one star."
227,"i'm a local and had never been so when out of town guests came to visit i figured i'd give it a shot - it was great all three times i was there (within a 2 week period) had lunch - croque monseiur (i'm sure i spelled it wrong) which is a french grilled ham and cheese - yummy! also had the duck leg confit, onion soup, filet au poivre (ok not all at the same time) and then had  breakfast on a sunday morning and sat on the patio which was fabulous -i ordered the chocolate and bacon waffle - i know sounds weird but the sweet/savory combo was fantastic....also, lots of hot fresh coffee.  so for a touristy place, it was reasonably priced, the service was good and so was the food - plus the people watching can't be  beat...give it a try - its not Paris, France but it's pretty close."
228,"The food was is the 3.5-4* range (and come hungry, because there is a lot of it), but I'm docking you major marks for some seriously bad service. We were super rushed and the attitude from our waiter was a pain (look if you can't even fake a smile, maybe you should go home). By the end we were happy to get out of there. Too bad, because I loved my scallops and I liked the french onion soup even it was too heavy on the gruyere (hint: layer of cheese on the top, not 50% by volume)."
229,"We went here for dinner and it was great, the service was spectacular as was the meal and appetizers.  Very good selection of wine as well.  The roast chicken is highly recommended."
230,"Love it...kinda fakeishly Parisien...:Food - 4  starsService - 4 starsPerformace/Cost - 4.5 starsDefinitely the kind of a restaurant that I'd like to spend my Friday nights.  We made a reservation for 7pm and were seated right away.  We had requested the outside seating but actually wanted to be inside since there was too much construction outside right next to Bellagio.  But we were seated just inside with a tantalizing view of the Bellagio and the water show.  Sweet.We started the evening with some cocktails, shrimp cocktails, and some pate, just enough to get us tipsy and get hungry for the steak.All three of us order steak frites - mine was perfect, the hanger steak was perfectly cooked to medium and the fries were excellent.  We took in a bottle of 2004 Silver Oak Cab with us...a beautiful complement to our steaks.  We had to run out since we were in a hurry to make it to our show, but it was a wonderful experience.  I'm shying away from giving a 5 since the presentation of the food could be better and the restaurant was a bit loud.  But it's a French bistro, what more can I expect?I'll definitely be back here for more!"
231,"Location, location, location. When we came here Thursday morning I was lucky that I made a reservation for breakfast with outdoor seating which by the way oversees the Bellagio fountains, unfortunately at that time in the morning the fountain show did not being but it was still nice to see the Bellagio and people watch. Ok, now to the food. I ordered the eggs Benedict which was really good. I had mentioned it before that for me what makes a good sandwich is good bread and this was gooood bread. The side of potatoes was just ehh. To wash down the Benedict I had a mimosa which was nothing special but it was suited the moment, Vegas 85 degrees (ha it was 9am) with great company in a great location. The service was great we never had an empty cup of coffee and I mean NEVER. The wait staff was very accommodating with any questions we had. Next time I would like to come here for dinner with outdoor seating. For that I would probably have to make reservations a week in advance. When walking by here at night it was jammed packed at night."
232,"Okay, so I'm probably not a prime candidate to make an interesting review of Mon Ami Gabi, but what the heck... the reason being is that I had their cheeseburger... it was awesomely awesome!  Some of the other items had at our table were, fish, filet mignons, chicken, vegetarian and salad.  Everyone said that they liked the food and the presentation was great!  My burger was really tender and cooked to perfection, the bun was tender (a bit big), I had mine with gruyere cheese and that was a nice touch and added some great flavor.  The main reason that I wanted to write this review is to rave about the fries (or frittes I believe they're called)... they're the craziest thing ever!  They were like a hybrid of a french fry and a potato chip, but soft, yet crunchy... I can't even explain it, they were so good I could have had a meal just entirely of those!  I also did try my wife's hanger steak and it wasn't too bad either, tender and juicy for  sure!  Their menu was smaller and not a lot of dishes that stood out to me... I really didn't give it a thorough read over, because I was in the mood for a big ol' juicy messy sloppy burger!Overall, really cool atmosphere, nice and friendly servers/waitstaff  and excellent fries....."
233,"So i have to give it to this place,Just a Great View and Location on the Strip.I tried their Egg, Bacon & Cheese Crêpe and my V. had their Eggs Benedict.The Crêpe was alright,but the egg was somewhat runny,i do not mind since i like my eggs sunny side up,so go figure me not saying anything,besides that my meal was alright.I do have to say their Eggs Benedict is really good,tried a bite and it was delicious,enough for me to go back and try it all for myself.Had a few rounds of Mimosas,they were real good.Now here is something that some Yelpers probably deduct on the stars,but i have to admit that at first i thought of saying the hell with this place,but they took a while for them to give us our first round of Mimosas,and their excuse was they ran out of Fresh Orange Juice,cough,yea,really,come on,be better then that,now i did hear that they recently offer breakfest,not sure how true that is,but i gave them the benefit of the doubt.Our server was #22,no name tag,just a number,huh? yea,so anyways,this guy was okay,that is why i say server and not waiter,cause he hardly waited.Now the best part besides the Eggs Benedict and Mimosas was OSCAR!,he was the Busboy that took care of us,and was really funny and outgoing,great person,i just wish they had more people like him there.We did get to see the explosions from the Bellegio,i am sure it would be more awww if it was night time,since this was 10am,it was alright,sorta cool.The whole experience was really nice...So if you find yourself in Las Vegas and near the Paris,try it out for yourself.I hope you dont take me to be snobby,but service should be great service especially in Las Vegas and at this resort.Just saying,i dont want you to trip on serving me,but come up with a better reason then we ran out of O.J. at the bar...Just saying,still a fan though,so takecare now."
234,"good mushroom omelette. Great bloody mary bar.  Selection of vodka + pickapepper, louisiana green wasabi hot sauce, some other good one i'd never tried, worchestershire, too kinds of mix, straight tomato and some other premixed (with anchovies!) very good, asparagus, celery, red and green jalapenos, olives, horseradish, pickled ginger, salami sticks (no thanx for me but you might like!), tomatos etc.  Only missing: green beans, lemon (for a small squeeze on top) and cocktail shrimp.  Outdoor dining available but get their early or tip for a table!  give this joint a try. also in Chicago (and perhaps elsewhere).  At Paris Hotel & Casino."
235,"As Peggy Hill observed in her neighbors backyard hot tub while eating cut squares of american sliced cheese, ""This must be what Paris is like.""Just kidding. I like this place though. I had the steak frites with bearnaise sauce. Very delish. The frites were just the right amount of salty and crispy. Baked cheese appetizer was warm and cheesy and pretty amazing. We sat on the inside (to avoid the 1 hr wait to sit outside), but they sat us literally 10 feet from the open windows with our chairs facing out, towards the Bellagio water show. Great service and pretty decent prices for Vegas.  Am now curious to try lunch there..."
236,We go here every time we are in Vegas! We love to sit outside and watch the people and fountains. The food and wine is always good. This time I had a simple soup and salad - French Onion was excellent and the salad was the blue cheese on frissee that was okay. I ordered a white Bordeaux - my favorite white - but they had to substitute the wine and it was just okay. This dinner will take about 2-3 hours so enjoy the time and scenery!
237,"I came to Mon Ami Gabi with a local restaurant manager who knew people so my experience may have been better than average.  Our meal was perfect, our service was great, and our prime seat outside at the railing on The Las Vegas Strip made the scenery priceless.I didn't order.  Neither did my friend.  We just let the waiter take control.  He brought salads, appetizers, and delicious steaks all paired with various wines.  This was very nice because I certainly don't go that deep normally.  And then there was dessert...everything was perfect.  The only thing they didn't provide that I could have used was a complimentary Rascal scooter to help me back to the hotel.  I was stuffed.I came back for drinks a 2nd time and had a nice experience at the bar.  The place as a whole is more on the formal side, but I went in casual attire once and didn't feel uncomfortable.Mon Ami Gabi (Moan ahmee gahbee is how I say it) is located inside the Paris hotel.  It is toward the front of the property, but you cannot enter from The Strip.  You must walk into the casino to gain access.  Don't try to jump the rail outside if you have had too much to drink as that would be tres uncool.  The outdoor seating is unique and is highly recommended unless it is during the day or raining.  I went on a hot night and sat outside, but didn't feel hot.Park for free in the hotel lot if you have a car."
238,"This is the very first restaurant I dined at while in Vegas; we went on a Monday night around 8pm and while there was a 30-45 min wait for outdoor dining, there was no wait time for inside (so of course, being starved from traveling, we opted for the quickest way).  They start you out with very tasty crusty bread and butter and a coleslaw-type salad which is very refreshing.  I ordered a special lemon tarragon halibut which was fantastic, and my friend ordered a salad with salmon and citrus (she said that it was very delicious with a nice large portion of salmon).  Our waiter was very attentive and my water glass was refilled very quickly.....I will definitely eat here again, as I REALLY want to try the steak, and hopefully next time I will be able to sit outside and watch the fountain show @ the Bellagio :)"
239,"I've been to Mon Ami Gabi three more times since my initial review and this has definitely become my go-to restaurant when I'm in Vegas and I want a guaranteed good meal for a moderate price. If you can, I highly recommend dining on the patio - you can't request it when you make a reservation, but when you check in, they will ask. My favorite dish is the sea scallop dinner - I've had it twice and it has not disappointed. The scallops are always cooked perfectly and you get six. The scallop appetizer was fine, but the entree is by far the better choice. The baked cheese appetizer which I had this past weekend when I dined at Mon Ami Gabi with two friends was a big winner with our group, but how can you go wrong with goat cheese and tomato sauce? I am not a big dessert person, but the chocolate mousse is amazing.Service is always very friendly and attentive. When my friend's steak on Saturday night wasn't cooked exactly how she wanted, our server got it taken care of right away. Before tip, I always seem to spend around $40 which includes wine (either a glass or a portion of a bottle), my meal, and maybe a portion of dessert. I never leave disappointed and will go back to Mon Ami Gabi on another trip."
240,"HANDS DOWN, THIS is my favorite restaurant in all of Vegas & it has been for years. I've been coming to Vegas since I was a bump in my moms tummy. So no I don't really categorize myself as a tourist. I've been to several restaurants and I gotta say i LOVE this restaurant. My love distribution is 80% location and 20% food.This is possibly the BEST LOCATED restaurant in all of Vegas, if you're a people watcher. It's a classy restaurant right in front of Paris LITERALLY ON THE STRIP, facing the Bellagio water show. You have the option of eating indoors (being boring) or outdoors (where all the action is) on a semi-elevated platform/balcony where all the tourist are walking and passing you by. It's exactly how several restaurants are in real Paris, which YES I have actually been to FRANCE. The only difference is that you watch all the crazyness of drunken pedestrians/traffic, watch the singing water show across the street and watch the advertising trucks with pictures of almost-naked hookers. It's great! lolThe food is pretty good and pricey and that's fine with me. It's mostly different types of steaks and frites. The drinks are pretty strong as well. The special cocktails they make aren't so strong, so just order your regular drinks like you would at a normal full bar. You're bill could possibly freak you out at the end, which it always does with me.If you want to impress a first-timer in Vegas, this is definitely the place you wanna go. You get good food, enjoy the freak show of people walking or driving on the strip AND they have great views of the strip which is good for pictures.I can go on about this place forever..."
241,"Wonderful experience. We decided to go to dinner last minute before the 10:30pm show of ""O"". We tried to get a patio table, but it was a 30 min wait. So they gave us the next best thing: table bordering the patio. It was an awesome view, I would say it's better than being out on the patio. We just went this past weekend and it was unseasonably cool and pleasant for Vegas. Bellagio fountains and weather made for a great dinner. We had the escargots to start. It was decent, I say too much butter. I had the bone-in ribeye with a side of Macaroni Gratin. The steak could have been more flavorful, but still good. The Mac gratin was very good. Service by Matt was good as well. The restaurant has a great ambiance and that's what makes this place. Go, the food is decent and the view is unlike any other."
242,"WOW, This place is amazing, especially at night with all the lights. Great for a date or with friends. You get a great view of Bellagio's water show. Man, talk about romantic. The service is great, maybe because my group had an awesome waiter... (apparently he DJs on the side)! Shout out to him if he reads this! So they provide a baguette to munch on while you wait for your food. The fries are great because they aren't your average fries. They are cut differently and lightly salted. MMMM good. I'd highly recommend the trout grenobloise. I am lactose intolerant so they customized it to my dietary restrictions. And it was still delicious!!! My friend had the pork tenderloin. Boy was it tender! Again, I'd recommend the trout and the fries. Surprisingly, this place is pretty affordable considering its smack dab on the strip. I'm a frugal person so to spend 19 bucks on dinner... I can't complain. Plus the portions are pretty generous. So this place does deserve the 5 stars. I hope to come back here soon or at least hope that they bring it out to San Diego!"
243,"Gabi, you can be mon ami!My friends dumped the responsibility of picking a dinner place on me (whoo hoo..) - thank you eavesdropping taxi driver for suggesting you, Mon Ami Gabi, at the Paris.  You have steak, seafood, salad, soups.. perfect!And, you were a good choice!  Everyone loved their food.  Two of us had the Halibut special, one of us got the Steak Au Poive, another the Steak Bordelaise, one order of the Roast Chicken, and an order of the Thyme-Seared Salmon (which, I would totally recommend, it was delicious!).  I don't think anyone left any food on their plate.  The only thing I was disappointed with though, is your French Onion soup.  You're a French restaurant.   French Onion soup is, well, French.  Oh, how could you mess that up?  Good thing it was one of the first things I had, so that I could forget about it when I dove into my main entree.Other than that, the view of the Bellagio fountains and your not-so-crazy prices, make you worth eating here."
244,"Walked in on a sunday night without reservations and had an AWESOME table!  ( we we're not outside but sitting right at a huge open Window with a mostly unobstructed view of the bellagio fountains)the service was awesome - the waiter was great, always had a smile and always realllly attentive, I loved that!The food : it was a mere "" Meh!""  Although, i would like to come back and try something else. I had a New York strip - didnt really like the crispy potatoes they were served with, the macaronni gratin was way too rich, and the steak tasted like a shoe!! I think theses people rely too much on their "" sauces"" and dont really give much thought to the actual  beef.Thankfully, i ate almost a whole baghette before the steak came so i was satisfied!! lol. Next time I visit this restaurant it will be for  lunch , and ill try a burger or sandwhich. 4 stars for the service, the ambiance and the service and the service! definitely will be coming back..."
245,"There's really one thing that makes this place - the patio, which is right across the street from the Bellagio. It's a perfect dining spot. The one thing to keep in mind is that the patio is first come/first served, so you may want to stop by just before (or as) they open if you don't want to sit around waiting.Fortunately, the food is also very tasty. Both times I've been there I had some form of a steak, which, of course, is served with fries. The fries are cut very thin, very crispy, a tad on the greasy side, and oh so very tasty. Spend the extra few dollars for the filet rather than going with the normal strip steak they serve.The service is very solid - very good, quasi-high class but not snooty.And for the location and food I think the prices are rock solid. Just a few dollars more than the Outback down the street.Whenever people ask where to have dinner in Vegas I always recommend this place."
246,"Great for Breakfast too.  The service was the best I had on my whole trip and the breakfast so yummy. I couldn't stop eating the toast. It was the best toast I have ever had. Big thick slices.  Even the jam was like homemade. I know it is only toast but it was so good. I had the Eggs & Beef Bourguignon, bacon, mushrooms, pearl onions for $11.50. The eggs where pouched and huge. I think they might have been duck eggs. Very rich dark yokes like free range grass feed poulty give you. The stew was very rich and tasty. Coffee is great and my server was always there to fill it up. I also ordered the flaky Pain Au Chocolat for $3.50.  My husband had the made by scratch blueberry waffles for $10.95. He said they where the best he has had. Looking at other people plates made me wanting to try it all. Next trip for sure."
247,"another great experience here... yummy bloody mary... good crusty bread and real butter... I had the salad with poached egg, bacon, and house vinaigrette... I just wish I had more bread to sop up that yolky, vinegary goodness at the end... pom frites excellent.. oh also had the crabcake, very good with a really good cole slaw... (vinaigrette instead of mayo)... the atmosphere is really nice too, classy but not stuffy... our waiter was ok but we had another waiter coming over and joking with us, etc, so it made up for it."
248,"One of my go-to spots when I'm in Vegas.  Not too fancy, good food, nice outdoor patio right across from the Bellagio fountains.  The seafood crepes are awesome.  They technically are not on the menu for some reason, but they'll still make them for you if you ask.  My only complaint to the staff would be: Please turn off your gas-lit lights when it's 100 degrees outside and sunny.  I literally thought my face was going to melt into my delicious beer.  But I still love you."
249,"Just went this weekend.Made a reservation  for 5 through open table.The food was good.I had the escargots which were okay.... and the french onion soup , this one... delicious but a little bit too big?:)My friends had the chicken and the filet au proive... the french fries were really good.What I like the most was the ambiance, and the location.  We got a table close to the outside, it wasn't cold nor too warm.The best thing was their wine list.  We had 5 different glasses.  I had a sauvignon blanc and my hubby the pinot.... it was really good.I love escargot but it was a big disappointment, it was tender but the flavors were just okay.Will go back again. Make sure you reserve before you go.... if not you will be waiting and waiting...:)"
250,One of my favorite places to dine when I'm in las vegas and las vegas is like a second home to me since I'm here so often...The food is excellent but its the charm of the outdoor seating area with the awesome view of the bellagio water show at night that makes it so special...Defintiely worth a try...bon apetit!
251,"We had reservations for our party of almost 30 people for our 30th Birthday Celebration. They put us in our own room looking out at the Bellagio fountains. Couldn't have asked for a better location for our party. The leader of our group had negotiated a set menu for a very reasonable price (4 courses $65). For spitting out masses amounts of food, the food was Very Good. We had crabcakes for one of our courses that was definitely one of the best Crabcakes ever! Lots of Crab! I picked the scallops as my entree (over mashed cauliflower), other than the scallops being a tidbit over cooked it was really good. Dessert: Choc Cake = Awesome! Decent cocktails! Service was on point! Overall a Very Good Experience!"
252,"great restauant! food all tastes great. i had escargot, and some sort of seafood ensamble with pureed vegetable, i think it was scallop. it was super good. i came here with a large group of friends and everyone loved thier food. one thing that stuck out the most... THE FRENCH BREAD! lol all the girls ate it and asked for more and more. this place has the best outdoor seating in vegas next to LAVO! I like this place for casual dinner."
253,"Had breakfast there. Nice outdoor seating. Great view. Quite inexpensive. Was not packed at 11AM on Sunday, while many other breakfast placeses had very long lines.French toast was to die for. Definitely worth the money and beats any buffet as a breakfast option."
254,"I had a great lunch over the weekend.After a night of partying, I needed a place to relax and people watch. In the 100+ degree weather, we sat down to a nice lunch watching the fountains. The water mist helped keep the heat at bay.My hamburger was great. Service was great. Sitting outside was the best. Forget eating buffets 24/7 in Vegas. Their portions are big and the atmosphere itself is worth 5 stars."
255,"I took my wife and 6-year old to this place last week, our desired buffet place across the street had an hour wait. We were very impressed with the service, food, selection, atmosphere and overall value. We went on a Sunday night, 6 minute wait to be seated. I had the chicken dinner with asparagas-excellent! It was kid-friendly, the kids menu had a great selection as well. I highly recommend this place if your tired of the usual meals in Vegas."
256,"I love this place, me and the gf went here and it was awesome. We sat inside and the atmosphere was crazy. Just buzzing. We both had the classic steak frites and it was an awesome piece of meat. Next time I would love to sit outside across from the Bellagio. I put in the reservations that we were celebrating our anniversary and the waiter gave us a free cheesecake. It was an awesome experience."
257,"Yay for Mon Ami GabiService: 4.5Food: 4.5View: 5 (from where we were sitting)Portion in proportion to price: 4Decor: 4That's my overall breakdown for everything. What a great place! My boyfriend & I came here on our last night in Vegas. We requested outdoor seating and we lucked out with, what I think is, the best seating. We got the corner seating with a PERFECT view of the Bellagio watershow and didn't have numerous people walking back and forth right in front of us. We ordered the pate, salmon, steak bearnaise (?), french onion soup. Everything was delicious, very decent sized portions and very filling. I would go into more detail but I'm too lazy. Basically, you can't fail with any of these choices. The atmosphere was pretty interesting. Right when you walk into the restaurant, it's pretty dim and seems more like a romantic setting but as you walk toward the outdoor seating, the atmosphere gets more lively. Or maybe that was just my take on it all.Basically, this is a great place for a date or even for a group to come here. Sitting outside is awesome (but be sure to do it later in the evening when it isn't scorching hot)."
258,"I love it here! The best time to go is in the late evening for dinner, when you can sit outside and watch the Bellagio Fountain show and people watch as you are enjoying your meal here. The steak and fries are just wonderful here, and the service is attentive. The atmosphere is almost 5 stars in itself!"
259,"We were strolling along the strip and since nocthing else seemed to be open, we decided to give this place a shot. The one thing I loved about this place is that it is right across the Bellagio water show. That was lovely. The food here is good. Their baked cheese is to die for :) The waitress was really nice she even offered to take our picture after we were finished eating. Maybe we will be back."
260,"I love this place!! Context: I was visiting my friend in Vegas for a couple of days and she asked me what I wanted for dinner right before my flight out. My request was simple: ""Somewhere outdoors with a view of the strip where we can chill, drink, eat some good food and people watch."" Surprisingly, there was only one place that fit my demands: Mon Ami Gabi!Apprehensively we drove over to Paris expecting a wait at the restaurant that would damper the plans but surprisingly most of the outdoor seating was available when we showed up at around 5:00 pm. We got a prime seat outside facing the Bellagio. Picture this: sangria, setting sun, water show, slight breeze with beautiful weather. Ah...Vegas - you gotta love it.We ended up ordering the escargot (delicious) and the skate wing (kind of fishy flavored, a bit disappointing) to share. However, I gotta admit that the whole experience was not really about the food, more about the ridiculously relaxing and beautiful experience.So again I say: I love love love this place. Usually when I'm in Vegas I'm just too hungover and in pain and I'm so glad we stopped in at Mon Ami Gabi to just stop for a second, chill, and experience the good life =)"
261,"being a big fan of French food, i was really looking forward to eating here. maybe it was eating at 4pm, or maybe i was just not feeling the food that day. i thought this place was okay. i just thought it was nothing special or out of the ordinary, something i could've easily eaten in LA and didnt have to be in Vegas to get.started off with Escargots de Bourgogne ($10.50). was pretty good. dipped the bread in the leftover garlic herb butter.. yum! :) got the skate fish ($22.95) for my main course. it was good.. had capers, which i liked. it came with chips, which became soggy from sitting in the sauce that the fish was sitting on. the fish was pretty tender, but also a tad lacking in flavor. maybe that was what the capers were for? the reisling i had went well with the fish though.dont get me wrong, the food wasnt bad. i actually had a taste of my friend's pork tenderloin and it was REALLY good. it just didnt seem to live up to the hype that i'm reading here. keep in mind we also sat inside, so maybe that took away from the experience of eating on the patio and overlooking the strip."
262,"One of 'Vegas' few civilized spots.  Very good food, fair prices, great ambiance and nice views of the water show right across the Strip at Bellagio.Tip: No matter how long they tell you the wait is to sit outside, you can just walk out there on your own and sit at the outside bar."
263,Been to Mon Ami Gabi seven or eight times and love it! This is my favorite place to eat at the Paris. Even better if you are lucky enough to get outdoor seating - a great view of the Belagio water show.Highlights of the meal - the wonderful escargots... And the filet mignon in merlot butter. The merlot butter is so effin good - I promise it makes your steak unbelievable!!  Mon Ami is a must stop shop in Vegas if you are kicking it a Wei Pari...
264,"I've always been a fan of Lettuce Entertain You restaurants, and Mon Ami Gabi is no different.  Service and food is excellent and it is a pretty good value, considering (NY Strip for $30? That is about 20-50% less than most other steak places).  Decor is dim and French in style, and the view out the front leads right to the fountains of the Bellagio, which provide ample entertainment on 30 minute intervals during the meal. The food is delicious, definitely recommend the baked cheese appetizer.  Steaks were good, and when I asked for some fresh cut horseradish, that is exactly what I got, not the creamed variety that often arrives.A nice, clean, civilized restaurant in the heart of Vegas, not bad."
265,"Made reservations nearly a month in advance for dinner for 4, and looked forward to the experience because I had eaten here once before and loved it. But this time - yuk! First, server appeared before we had even fully sat down (I was still trying to figure out where to set my purse) and asked what we wanted to drink. Told her we needed a few mintues - bad move as she did not return for a full 20 minutes. We had chosen a bottle of wine and an appetizer for the table, but she refused to take the appetizer request until she went and got the wine! When she returned with the wine she proceeded to fill my glass nearly to the brim. This is a pet peeve of mine. When I spend $80 for a bottle of wine I want it poured correctly so that there is room in the glass to aerate it and develop the flavor.Anyway, we remind her of the appetizer we want and order our meals. Appetizer never came. Waited 25 minutes and salads arrived. Told her we never got the appetizer we ordered and she said, ""oh sorry, we won't charge you for it then"". Less than 5 minutes later the entrees arrived and she tried to take the salads away even though we had barely had a chance to touch them!We had ordered the steaks cooked ""medium"" and they came cold in the middle. Returned them for more cooking - another 20 minutes go by. Finally she delivers the steaks again and also the bill! We mention that we just might want to look at a dessert menu once we have finished the meal, so she runs right off and brings one to us.We try to eat the rest of our meal, while she continually visits the table to ask if she can take plates away and if we want dessert. When we do finish she is nowhere to be seen. We give up and pay the bill and go elsewhere for dessert.This evening was pretty much a total loss. Was embarrassed because I picked the restaurant and was telling my friends how good it was. I'll think twice before going here again. There's just too many good restaurants in Vegas to take a chance on this one again."
